Customer_ID,Churn_Predict,Probabilidade,Gênero,Idade,Casado,Estado,Número_de_Indicações,Tempo_de_Contrato_Meses,Promoção,Serviço_Telefônico,Múltiplas_Linhas,Serviço_de_Internet,Tipo_de_Internet,Segurança_Online,Backup_Online,Proteção_de_Dispositivo,Suporte_Premium,TV_Streaming,Filmes_Streaming,Música_Streaming,Dados_Ilimitados,Contrato,Fatura_Digital,Método_de_Pagamento,Cobrança_Mensal,Total_Cobrado,Total_Reembolsos,Cobranças_Extras_de_Dados,Cobranças_de_Ligações_Longas,Receita_Total,Status_do_Cliente,Categoria_de_Churn,Motivo_de_Churn,Status_do_Churn,Faixa_Carga_Mensal,Faixa_Idade,Faixa_Tempo_Contrato
32553-TAM,1,0.7551115693848157,Masculino,52,Não,Tamil Nadu,11,1,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Não,Sim,Mensal,Não,Débito em Conta,87.2,4017.45,0.0,0,51.23,4068.68,Permaneceu,Outros,Outros,0,50-100,> 50,< 6 Meses
16554-RAJ,1,0.7815045911907508,Feminino,64,Não,Rajasthan,2,15,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,75.2,633.85,0.0,0,83.43,717.28,Permaneceu,Outros,Outros,0,50-100,> 50,12-18 Meses
76357-UTT,1,0.8151461674542136,Feminino,46,Não,Uttar Pradesh,5,33,Nenhuma,Não,Não,Sim,Cabo,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,50.35,1098.85,0.0,0,0.0,1098.85,Permaneceu,Outros,Outros,0,50-100,36-50,>= 24 Meses
66712-GUJ,1,0.8936081505101907,Feminino,47,Sim,Gujarat,6,33,Promoção 5,Sim,Não,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Mensal,Não,Débito em Conta,84.3,235.05,0.0,0,41.16,276.21,Novo Cliente,Outros,Outros,0,50-100,36-50,>= 24 Meses
34110-MAH,1,0.8702885199218444,Feminino,20,Sim,Maharashtra,6,3,Nenhuma,Sim,Sim,Sim,Cabo,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,50.1,50.1,0.0,0,29.13,79.23,Novo Cliente,Outros,Outros,0,50-100,20-35,< 6 Meses
12056-WES,1,0.8998868188497258,Masculino,27,Não,West Bengal,2,20,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Mensal,Não,Débito em Conta,90.4,268.45,0.0,0,94.44,362.89,Novo Cliente,Outros,Outros,0,50-100,20-35,18-24 Meses
54667-TEL,1,0.8235480767194349,Masculino,51,Sim,Telangana,11,33,Promoção 5,Sim,Não,Sim,DSL,Não,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,54.4,475.1,0.0,0,12.48,487.58,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
89415-WES,1,0.6890055675067286,Feminino,73,Sim,West Bengal,3,23,Promoção 4,Não,Não,Sim,DSL,Não,Não,Não,Sim,Não,Não,Não,Sim,Mensal,Sim,Cheque por Correio,29.3,355.9,0.0,0,0.0,355.9,Permaneceu,Outros,Outros,0,20-50,> 50,18-24 Meses
49879-UTT,1,0.6561523468284246,Feminino,65,Não,Uttar Pradesh,13,32,Nenhuma,Sim,Não,Sim,DSL,Sim,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,49.45,314.6,0.0,0,234.96,549.56,Permaneceu,Outros,Outros,0,20-50,> 50,>= 24 Meses
75305-KAR,1,0.8348320455155677,Masculino,57,Não,Karnataka,9,28,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Mensal,Não,Débito em Conta,84.8,888.75,0.0,0,336.27,1225.02,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
56595-KAR,1,0.716348160857141,Masculino,57,Sim,Karnataka,10,4,Promoção 4,Sim,Não,Sim,Cabo,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,45.9,521.9,0.0,0,142.45,664.35,Permaneceu,Outros,Outros,0,20-50,> 50,< 6 Meses
83118-MAH,1,0.8157572143239471,Masculino,53,Não,Maharashtra,0,3,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,102.55,1742.5,0.0,0,171.87,1914.37,Permaneceu,Outros,Outros,0,> 100,> 50,< 6 Meses
47133-ODI,1,0.7789552989792401,Feminino,60,Sim,Odisha,15,8,Nenhuma,Sim,Não,Sim,Cabo,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Não,Débito em Conta,44.6,122.7,0.0,0,46.77,169.47,Novo Cliente,Outros,Outros,0,20-50,> 50,6-12 Meses
39718-KAR,1,0.8229254794392741,Feminino,63,Não,Karnataka,1,36,Promoção 3,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,95.4,3474.2,0.0,0,1460.88,4935.08,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
39193-TAM,1,0.9311783716309012,Feminino,68,Sim,Tamil Nadu,1,21,Promoção 3,Sim,Não,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,83.85,2674.15,11.37,0,372.93,3035.71,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
21288-MAH,1,0.7575959507885898,Feminino,63,Não,Maharashtra,12,34,Nenhuma,Sim,Sim,Sim,DSL,Não,Não,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Débito em Conta,60.25,170.5,0.0,70,60.3,300.8,Novo Cliente,Outros,Outros,0,50-100,> 50,>= 24 Meses
56436-UTT,1,0.942461181653036,Feminino,53,Sim,Uttar Pradesh,14,16,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,87.0,1850.65,0.0,0,1070.96,2921.61,Permaneceu,Outros,Outros,0,50-100,> 50,12-18 Meses
43387-MAD,1,0.6702615863752395,Masculino,44,Não,Madhya Pradesh,3,16,Nenhuma,Sim,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,49.0,749.25,0.0,0,176.25,925.5,Permaneceu,Outros,Outros,0,20-50,36-50,12-18 Meses
83994-DEL,1,0.6501794551940729,Masculino,48,Sim,Delhi,8,24,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Mensal,Não,Cartão de Crédito,90.7,237.65,0.0,0,16.17,253.82,Novo Cliente,Outros,Outros,0,50-100,36-50,>= 24 Meses
79991-HAR,1,0.6921023758171811,Feminino,36,Não,Haryana,7,14,Promoção 2,Sim,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,100.5,4707.1,0.0,0,1793.05,6500.15,Permaneceu,Outros,Outros,0,> 100,36-50,12-18 Meses
76472-TAM,1,0.9091793659781088,Feminino,75,Sim,Tamil Nadu,13,22,Promoção 4,Sim,Não,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Não,Não,Mensal,Sim,Débito em Conta,74.7,1294.6,0.0,20,379.62,1694.22,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
96903-BIH,1,0.8556916240705192,Feminino,37,Não,Bihar,14,27,Promoção 3,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,99.65,2404.85,0.0,0,616.32,3021.17,Permaneceu,Outros,Outros,0,50-100,36-50,>= 24 Meses
24754-AND,1,0.9149799180858053,Feminino,63,Sim,Andhra Pradesh,0,28,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,69.55,200.2,33.8,0,5.01,171.41,Novo Cliente,Outros,Outros,0,50-100,> 50,>= 24 Meses
99101-KER,1,0.682306925588847,Feminino,57,Sim,Kerala,9,25,Promoção 3,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cartão de Crédito,98.8,2807.1,0.0,0,1397.8,4204.9,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
15175-GUJ,1,0.9078006938490204,Feminino,53,Sim,Gujarat,14,27,Promoção 4,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,96.8,1743.05,0.0,0,202.92,1945.97,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
17664-KAR,1,0.8561123288475307,Feminino,30,Não,Karnataka,13,22,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito em Conta,73.7,1558.7,0.0,0,599.34,2158.04,Permaneceu,Outros,Outros,0,50-100,20-35,18-24 Meses
24990-WES,1,0.9317700364050532,Feminino,36,Não,West Bengal,8,24,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,71.65,135.75,0.0,0,58.06,193.81,Novo Cliente,Outros,Outros,0,50-100,36-50,>= 24 Meses
26500-GUJ,1,0.6786918263648885,Feminino,62,Sim,Gujarat,3,19,Promoção 5,Sim,Não,Sim,Cabo,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque por Correio,62.15,113.1,0.0,0,96.78,209.88,Novo Cliente,Outros,Outros,0,50-100,> 50,18-24 Meses
81949-HAR,1,0.6697413210494212,Feminino,24,Sim,Haryana,11,3,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,95.5,1916.2,0.0,0,774.2,2690.4,Permaneceu,Outros,Outros,0,50-100,20-35,< 6 Meses
23361-UTT,1,0.7461239756066245,Feminino,35,Sim,Uttar Pradesh,13,28,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Não,Sim,Mensal,Não,Débito em Conta,80.55,653.9,2.28,0,293.13,944.75,Permaneceu,Outros,Outros,0,50-100,20-35,>= 24 Meses
85923-PUN,1,0.7153328176475258,Feminino,66,Não,Punjab,10,31,Promoção 3,Sim,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,88.95,2072.75,0.0,0,1058.16,3130.91,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
12853-HAR,1,0.6900917866695295,Masculino,37,Não,Haryana,11,18,Promoção 2,Sim,Não,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,80.0,3168.75,41.74,0,1568.8,4695.81,Permaneceu,Outros,Outros,0,50-100,36-50,18-24 Meses
94847-WES,1,0.934041960740425,Feminino,54,Não,West Bengal,8,19,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,69.8,1540.35,0.0,0,869.8,2410.15,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
22660-TEL,1,0.6874178328687393,Feminino,45,Sim,Telangana,0,14,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,81.9,1028.9,0.0,0,444.34,1473.24,Permaneceu,Outros,Outros,0,50-100,36-50,12-18 Meses
58467-MAH,1,0.7772818509528976,Feminino,56,Sim,Maharashtra,12,25,Promoção 2,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,81.55,5029.05,0.0,0,1332.45,6361.5,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
17796-BIH,1,0.7052200293504994,Feminino,65,Não,Bihar,5,1,Nenhuma,Sim,Não,Sim,Cabo,Sim,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,48.45,48.45,0.0,0,16.42,64.87,Novo Cliente,Outros,Outros,0,20-50,> 50,< 6 Meses
21956-JHA,1,0.6899207017481896,Feminino,59,Sim,Jharkhand,10,8,Nenhuma,Sim,Não,Sim,Fibra Óptica,Sim,Não,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cartão de Crédito,82.3,214.4,0.0,20,134.91,369.31,Novo Cliente,Outros,Outros,0,50-100,> 50,6-12 Meses
21667-HAR,1,0.8836430503259972,Masculino,70,Não,Haryana,15,22,Promoção 5,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,70.65,293.85,0.0,0,24.72,318.57,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
33575-UTT,1,0.7653739447148886,Masculino,83,Sim,Uttar Pradesh,2,25,Promoção 3,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,85.2,2874.45,0.0,0,1008.44,3882.89,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
71509-HAR,1,0.7818029364741573,Feminino,40,Não,Haryana,3,27,Nenhuma,Sim,Não,Sim,DSL,Não,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,54.65,54.65,0.0,0,36.33,90.98,Novo Cliente,Outros,Outros,0,50-100,36-50,>= 24 Meses
54302-MAH,1,0.7125486260696284,Feminino,45,Não,Maharashtra,13,29,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,86.05,1818.9,0.0,0,311.01,2129.91,Permaneceu,Outros,Outros,0,50-100,36-50,>= 24 Meses
58686-MAH,1,0.8206582419010118,Feminino,54,Não,Maharashtra,9,18,Promoção 2,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,95.4,4613.95,0.0,0,400.82,5014.77,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
88776-MAH,1,0.6906841583688579,Feminino,41,Não,Maharashtra,0,13,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,100.4,715.0,0.0,0,273.14,988.14,Permaneceu,Outros,Outros,0,> 100,36-50,12-18 Meses
62544-GUJ,1,0.7616523544410504,Feminino,63,Sim,Gujarat,14,33,Nenhuma,Não,Não,Sim,DSL,Não,Não,Não,Não,Sim,Sim,Não,Sim,Mensal,Não,Débito em Conta,45.3,528.45,0.0,0,0.0,528.45,Permaneceu,Outros,Outros,0,20-50,> 50,>= 24 Meses
94887-AND,1,0.785505303940462,Masculino,54,Não,Andhra Pradesh,3,14,Nenhuma,Não,Não,Sim,DSL,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Não,Débito em Conta,25.2,321.05,0.0,0,0.0,321.05,Permaneceu,Outros,Outros,0,20-50,> 50,12-18 Meses
33077-BIH,1,0.7032749535765729,Feminino,53,Não,Bihar,1,7,Nenhuma,Não,Não,Sim,Cabo,Não,Sim,Não,Não,Não,Não,Não,Não,Mensal,Não,Débito em Conta,30.15,382.2,0.0,10,0.0,392.2,Permaneceu,Outros,Outros,0,20-50,> 50,6-12 Meses
91835-GUJ,1,0.6818950657808317,Masculino,21,Sim,Gujarat,12,5,Nenhuma,Sim,Não,Sim,Cabo,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,75.5,75.5,0.0,0,5.63,81.13,Novo Cliente,Outros,Outros,0,50-100,20-35,< 6 Meses
75858-HAR,1,0.9428776923352844,Feminino,60,Não,Haryana,10,31,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,75.35,564.65,0.0,0,176.19,740.84,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
33228-AND,1,0.8602386545856264,Masculino,57,Não,Andhra Pradesh,3,16,Promoção 4,Sim,Não,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,94.65,1461.15,0.0,0,168.0,1629.15,Permaneceu,Outros,Outros,0,50-100,> 50,12-18 Meses
98788-TAM,1,0.7105346882731364,Masculino,58,Sim,Tamil Nadu,4,16,Promoção 5,Sim,Não,Não,Nenhum,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque por Correio,20.05,39.25,0.0,0,13.7,52.95,Novo Cliente,Outros,Outros,0,20-50,> 50,12-18 Meses
12341-HAR,1,0.7449074815567479,Feminino,38,Não,Haryana,9,29,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Não,Débito em Conta,83.05,1799.3,0.0,0,252.12,2051.42,Permaneceu,Outros,Outros,0,50-100,36-50,>= 24 Meses
21711-WES,1,0.8520618098247464,Feminino,41,Não,West Bengal,7,17,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,92.95,4122.9,0.0,0,1155.0,5277.9,Permaneceu,Outros,Outros,0,50-100,36-50,12-18 Meses
84345-KER,1,0.7322653123847291,Feminino,27,Não,Kerala,6,4,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,69.9,497.3,0.0,0,216.93,714.23,Permaneceu,Outros,Outros,0,50-100,20-35,< 6 Meses
74651-WES,1,0.6623399286596517,Feminino,30,Sim,West Bengal,7,23,Nenhuma,Não,Não,Sim,DSL,Não,Sim,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cartão de Crédito,29.2,98.5,0.0,0,0.0,98.5,Novo Cliente,Outros,Outros,0,20-50,20-35,18-24 Meses
33999-ODI,1,0.6555501888913818,Feminino,26,Não,Odisha,11,35,Nenhuma,Não,Não,Sim,DSL,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,50.85,2036.55,0.0,0,0.0,2036.55,Permaneceu,Outros,Outros,0,50-100,20-35,>= 24 Meses
42358-BIH,1,0.7712058324236808,Feminino,53,Não,Bihar,9,35,Nenhuma,Sim,Não,Sim,DSL,Não,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,54.2,140.4,0.0,0,124.14,264.54,Novo Cliente,Outros,Outros,0,50-100,> 50,>= 24 Meses
41429-ODI,1,0.6669232172425628,Feminino,45,Sim,Odisha,5,30,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,69.05,1815.65,0.0,0,975.26,2790.91,Permaneceu,Outros,Outros,0,50-100,36-50,>= 24 Meses
97033-BIH,1,0.73081647220732,Feminino,74,Sim,Bihar,0,9,Promoção 3,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Mensal,Sim,Débito em Conta,101.5,2917.65,0.0,0,1440.6,4358.25,Permaneceu,Outros,Outros,0,> 100,> 50,6-12 Meses
35014-HAR,1,0.9251227951465736,Feminino,74,Sim,Haryana,6,28,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,103.5,6479.4,0.0,0,1142.82,7622.22,Permaneceu,Outros,Outros,0,> 100,> 50,>= 24 Meses
58571-GUJ,1,0.9038687047908074,Masculino,50,Não,Gujarat,10,22,Promoção 5,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Sim,Débito em Conta,71.05,472.65,0.0,10,199.5,682.15,Permaneceu,Outros,Outros,0,50-100,36-50,18-24 Meses
44709-WES,1,0.9245075334449484,Feminino,72,Sim,West Bengal,7,17,Nenhuma,Não,Não,Sim,DSL,Não,Sim,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,30.75,82.85,0.0,0,0.0,82.85,Novo Cliente,Outros,Outros,0,20-50,> 50,12-18 Meses
38985-UTT,1,0.6741883211127124,Masculino,57,Não,Uttar Pradesh,11,12,Nenhuma,Sim,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,51.1,711.15,0.0,0,466.95,1178.1,Permaneceu,Outros,Outros,0,50-100,> 50,12-18 Meses
36925-TAM,1,0.7325343347514601,Masculino,65,Não,Tamil Nadu,5,21,Promoção 3,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,105.8,2998.0,0.0,0,681.8,3679.8,Permaneceu,Outros,Outros,0,> 100,> 50,18-24 Meses
81886-CHH,1,0.770535734984041,Feminino,29,Não,Chhattisgarh,2,27,Promoção 1,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,85.4,5869.4,0.0,0,2379.81,8249.21,Permaneceu,Outros,Outros,0,50-100,20-35,>= 24 Meses
32019-PUD,1,0.90592419560118,Feminino,57,Sim,Puducherry,0,18,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,89.2,990.3,0.0,0,120.45,1110.75,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
49899-DEL,1,0.8350816010363933,Feminino,58,Não,Delhi,15,20,Nenhuma,Sim,Não,Sim,Cabo,Não,Não,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,49.6,939.8,0.0,0,263.6,1203.4,Permaneceu,Outros,Outros,0,20-50,> 50,18-24 Meses
78138-HAR,1,0.7163545396241002,Feminino,26,Sim,Haryana,2,22,Promoção 2,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,89.9,5450.7,0.0,0,2572.8,8023.5,Permaneceu,Outros,Outros,0,50-100,20-35,18-24 Meses
19520-GUJ,1,0.9243712681888884,Masculino,52,Não,Gujarat,10,19,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,75.5,1901.05,0.0,0,111.5,2012.55,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
65153-HAR,1,0.902891230372466,Feminino,54,Não,Haryana,9,4,Promoção 5,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,76.85,663.55,0.0,0,381.69,1045.24,Permaneceu,Outros,Outros,0,50-100,> 50,< 6 Meses
76330-HAR,1,0.8960174304103736,Feminino,65,Sim,Haryana,15,33,Promoção 4,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,78.75,1218.25,0.0,0,632.32,1850.57,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
