Customer_ID,Gênero,Idade,Casado,Estado,Número_de_Indicações,Tempo_de_Contrato_Meses,Promoção,Serviço_Telefônico,Múltiplas_Linhas,Serviço_de_Internet,Tipo_de_Internet,Segurança_Online,Backup_Online,Proteção_de_Dispositivo,Suporte_Premium,TV_Streaming,Filmes_Streaming,Música_Streaming,Dados_Ilimitados,Contrato,Fatura_Digital,Método_de_Pagamento,Cobrança_Mensal,Total_Cobrado,Total_Reembolsos,Cobranças_Extras_de_Dados,Cobranças_de_Ligações_Longas,Receita_Total,Status_do_Cliente,Categoria_de_Churn,Motivo_de_Churn,Status_do_Churn,Faixa_Carga_Mensal,Faixa_Idade,Faixa_Tempo_Contrato
82811-HAR,Feminino,46,Sim,Haryana,2,18,Promoção 2,Sim,Não,Não,,,,,,,,,,Um Ano,Não,Débito em Conta,20.45,900.9,0.0,0,2429.42,3330.32,Permaneceu,,,0,20-50,36-50,18-24 Meses
36568-HAR,Masculino,26,Sim,Haryana,7,8,,Sim,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um Ano,Não,Débito em Conta,-2.0,7942.15,0.0,0,2888.82,10830.97,Permaneceu,,,0,< 20,20-35,6-12 Meses
62683-UTT,Feminino,30,Não,Uttar Pradesh,12,20,,Sim,Não,Não,,,,,,,,,,Um Ano,Não,Débito em Conta,20.55,1343.4,30.53,0,1549.04,2861.91,Permaneceu,,,0,20-50,20-35,18-24 Meses
18223-MAD,Masculino,32,Não,Madhya Pradesh,14,2,,Não,,Sim,Cabo,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Dois Anos,Sim,Cartão de Crédito,39.4,825.4,0.0,0,0.0,825.4,Permaneceu,,,0,20-50,20-35,< 6 Meses
41111-MAH,Feminino,32,Não,Maharashtra,10,8,,Sim,Sim,Não,,,,,,,,,,Dois Anos,Sim,Débito em Conta,25.1,1070.15,0.0,0,1317.52,2387.67,Permaneceu,,,0,20-50,20-35,6-12 Meses
74542-MAH,Feminino,41,Não,Maharashtra,15,16,Promoção 2,Sim,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,89.8,4959.6,0.0,0,279.4,5239.0,Permaneceu,,,0,50-100,36-50,12-18 Meses
18842-HAR,Masculino,56,Sim,Haryana,2,30,Promoção 2,Sim,Sim,Sim,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,94.75,5597.65,0.0,0,967.01,6564.66,Permaneceu,,,0,50-100,> 50,>= 24 Meses
12210-DEL,Feminino,52,Não,Delhi,0,31,,Sim,Não,Não,,,,,,,,,,Dois Anos,Não,Débito em Conta,20.3,224.5,0.0,0,231.36,455.86,Permaneceu,,,0,20-50,> 50,>= 24 Meses
76566-UTT,Masculino,61,Não,Uttar Pradesh,1,20,Promoção 3,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,75.75,1929.0,0.0,0,682.02,2611.02,Permaneceu,,,0,50-100,> 50,18-24 Meses
73036-JAM,Feminino,66,Sim,Jammu & Kashmir,10,21,,Sim,Não,Sim,DSL,Sim,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,49.25,91.1,0.0,0,87.98,179.08,Churned,Concorrente,Concorrente fez oferta melhor,1,20-50,> 50,18-24 Meses
42964-MAH,Feminino,25,Sim,Maharashtra,3,25,Promoção 3,Sim,Não,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um Ano,Não,Cartão de Crédito,78.2,2078.95,0.0,0,1320.57,3399.52,Permaneceu,,,0,50-100,20-35,>= 24 Meses
18220-JHA,Masculino,35,Não,Jharkhand,12,19,,Sim,Sim,Não,,,,,,,,,,Dois Anos,Não,Cartão de Crédito,25.5,630.6,44.42,0,592.25,1178.43,Permaneceu,,,0,20-50,20-35,18-24 Meses
47645-PUN,Masculino,51,Sim,Punjab,15,14,,Sim,Não,Sim,Cabo,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Um Ano,Sim,Débito em Conta,61.6,1611.0,44.9,0,161.25,1727.35,Permaneceu,,,0,50-100,> 50,12-18 Meses
82015-UTT,Feminino,52,Não,Uttar Pradesh,7,23,,Não,,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,45.0,1242.45,12.26,0,0.0,1230.19,Permaneceu,,,0,20-50,> 50,18-24 Meses
15644-ASS,Feminino,22,Não,Assam,6,3,,Sim,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois Anos,Sim,Débito em Conta,85.15,6316.2,0.0,0,2329.92,8646.12,Permaneceu,,,0,50-100,20-35,< 6 Meses
24801-WES,Feminino,61,Sim,West Bengal,12,28,,Sim,Não,Sim,Cabo,Não,Sim,Não,Não,Não,Não,Não,Sim,Um Ano,Não,Cartão de Crédito,51.45,727.85,0.0,0,336.56,1064.41,Permaneceu,,,0,50-100,> 50,>= 24 Meses
85794-JHA,Feminino,36,Não,Jharkhand,5,4,Promoção 3,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Um Ano,Sim,Débito em Conta,99.25,3532.0,0.0,0,1274.7,4806.7,Permaneceu,,,0,50-100,36-50,< 6 Meses
72357-MAD,Feminino,53,Não,Madhya Pradesh,14,12,Promoção 5,Sim,Não,Sim,DSL,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,44.3,44.3,0.0,0,42.95,87.25,Novo Cliente,,,0,20-50,> 50,12-18 Meses
28648-DEL,Masculino,54,Sim,Delhi,3,14,,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Mensal,Sim,Débito em Conta,94.2,2607.6,0.0,20,59.45,2687.05,Permaneceu,,,0,50-100,> 50,12-18 Meses
85682-UTT,Feminino,26,Não,Uttarakhand,3,20,,Sim,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Um Ano,Não,Débito em Conta,81.25,5567.55,0.0,40,351.36,5958.91,Permaneceu,,,0,50-100,20-35,18-24 Meses
93096-AND,Masculino,31,Sim,Andhra Pradesh,9,14,,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cartão de Crédito,99.95,3767.4,0.0,0,950.82,4718.22,Permaneceu,,,0,50-100,20-35,12-18 Meses
49974-RAJ,Feminino,73,Não,Rajasthan,4,29,,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Não,Sim,Dois Anos,Sim,Débito em Conta,91.55,3673.6,0.0,0,1765.6,5439.2,Permaneceu,,,0,50-100,> 50,>= 24 Meses
36405-CHH,Masculino,47,Não,Chhattisgarh,9,26,,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cartão de Crédito,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Concorrente,Concorrente ofereceu dispositivos melhores,1,> 100,36-50,>= 24 Meses
22439-RAJ,Feminino,73,Sim,Rajasthan,4,1,Promoção 4,Sim,Não,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Não,Não,Mensal,Sim,Débito em Conta,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Insatisfação,Insatisfação com o produto,1,50-100,> 50,< 6 Meses
33514-UTT,Feminino,28,Sim,Uttar Pradesh,2,3,Promoção 5,Sim,Sim,Sim,Cabo,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Não,Débito em Conta,50.35,314.55,0.0,0,255.96,570.51,Permaneceu,,,0,50-100,20-35,< 6 Meses
21555-JHA,Feminino,54,Não,Jharkhand,15,34,,Sim,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque por Correio,64.5,1888.45,0.0,0,79.2,1967.65,Permaneceu,,,0,50-100,> 50,>= 24 Meses
46640-PUN,Masculino,31,Sim,Punjab,8,31,,Sim,Não,Não,,,,,,,,,,Mensal,Sim,Débito em Conta,19.4,529.8,0.0,0,557.82,1087.62,Permaneceu,,,0,< 20,20-35,>= 24 Meses
23376-TAM,Feminino,68,Não,Tamil Nadu,3,16,,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Um Ano,Sim,Débito em Conta,104.8,7308.95,6.11,0,2764.3,10067.14,Permaneceu,,,0,> 100,> 50,12-18 Meses
98423-JAM,Masculino,65,Não,Jammu & Kashmir,5,2,,Sim,Não,Sim,DSL,Não,Não,Sim,Não,Não,Não,Não,Sim,Um Ano,Não,Cartão de Crédito,50.3,2878.55,10.23,0,1065.46,3933.78,Permaneceu,,,0,50-100,> 50,< 6 Meses
34135-MAH,Feminino,21,Não,Maharashtra,9,6,,Sim,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,71.4,1212.1,0.0,0,411.36,1623.46,Permaneceu,,,0,50-100,20-35,6-12 Meses
89530-KAR,Feminino,58,Sim,Karnataka,15,33,Promoção 1,Sim,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois Anos,Sim,Débito em Conta,116.0,8182.85,0.0,0,2657.88,10840.73,Permaneceu,,,0,> 100,> 50,>= 24 Meses
69173-TAM,Masculino,27,Não,Tamil Nadu,9,27,Promoção 5,Sim,Não,Não,,,,,,,,,,Mensal,Sim,Débito em Conta,19.85,19.85,0.0,0,31.77,51.62,Churned,Atitude,Attitude of support person,1,< 20,20-35,>= 24 Meses
22286-HAR,Feminino,54,Sim,Haryana,6,36,,Sim,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,99.75,99.75,0.0,0,40.71,140.46,Churned,Concorrente,Concorrente ofereceu dispositivos melhores,1,50-100,> 50,>= 24 Meses
66581-UTT,Feminino,73,Sim,Uttar Pradesh,8,32,Promoção 3,Sim,Não,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Um Ano,Sim,Cheque por Correio,93.95,2861.45,0.0,0,1019.52,3880.97,Permaneceu,,,0,50-100,> 50,>= 24 Meses
22573-TAM,Masculino,46,Não,Tamil Nadu,9,35,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,90.8,1442.2,0.0,0,779.36,2221.56,Permaneceu,,,0,50-100,36-50,>= 24 Meses
25964-HAR,Masculino,66,Sim,Haryana,10,1,Promoção 2,Sim,Sim,Sim,Cabo,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Um Ano,Não,Débito em Conta,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Concorrente,Concorrente ofereceu maior velocidade,1,50-100,> 50,< 6 Meses
92186-PUN,Feminino,42,Não,Punjab,13,12,Promoção 1,Não,,Sim,Cabo,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois Anos,Não,Débito em Conta,58.25,4145.9,0.0,0,0.0,4145.9,Permaneceu,,,0,50-100,36-50,12-18 Meses
39892-ODI,Masculino,41,Sim,Odisha,3,31,,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Débito em Conta,107.55,3645.5,0.0,0,1639.77,5285.27,Permaneceu,,,0,> 100,36-50,>= 24 Meses
71292-MAH,Feminino,18,Não,Maharashtra,1,1,Promoção 4,Sim,Não,Não,,,,,,,,,,Mensal,Sim,Débito em Conta,19.95,187.75,0.0,0,496.0,683.75,Permaneceu,,,0,< 20,< 20,< 6 Meses
31698-PUN,Feminino,20,Sim,Punjab,15,1,,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Mensal,Sim,Débito em Conta,111.2,2317.1,0.0,120,761.46,3198.56,Churned,Atitude,Atendimento insatisfatório,1,> 100,20-35,< 6 Meses
76182-UTT,Masculino,47,Não,Uttar Pradesh,7,10,,Não,,Sim,DSL,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Mensal,Não,Débito em Conta,40.2,1448.8,0.0,0,0.0,1448.8,Churned,Concorrente,Concorrente ofereceu mais dados,1,20-50,36-50,6-12 Meses
73588-KER,Feminino,72,Não,Kerala,14,29,,Sim,Não,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,85.8,2193.65,0.0,0,877.24,3070.89,Permaneceu,,,0,50-100,> 50,>= 24 Meses
59410-MAH,Masculino,50,Não,Maharashtra,5,17,Promoção 2,Não,,Sim,DSL,Sim,Não,Não,Sim,Não,Não,Não,Sim,Um Ano,Sim,Cartão de Crédito,35.4,1748.9,0.0,0,0.0,1748.9,Permaneceu,,,0,20-50,36-50,12-18 Meses
69444-JAM,Feminino,31,Sim,Jammu & Kashmir,5,10,,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito em Conta,73.85,511.25,13.03,0,200.34,698.56,Churned,Concorrente,Concorrente fez oferta melhor,1,50-100,20-35,6-12 Meses
66365-UTT,Feminino,59,Sim,Uttar Pradesh,9,5,Promoção 2,Sim,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois Anos,Não,Cheque por Correio,88.1,5526.75,0.0,0,2878.59,8405.34,Permaneceu,,,0,50-100,> 50,< 6 Meses
66612-TEL,Feminino,38,Sim,Telangana,8,27,Promoção 4,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,101.35,1553.95,0.0,0,688.8,2242.75,Churned,Atitude,Atendimento insatisfatório,1,> 100,36-50,>= 24 Meses
39181-WES,Masculino,54,Sim,West Bengal,10,7,,Não,,Sim,DSL,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Mensal,Não,Cartão de Crédito,45.8,1147.0,0.0,0,0.0,1147.0,Permaneceu,,,0,20-50,> 50,6-12 Meses
97688-TAM,Feminino,35,Sim,Tamil Nadu,4,29,,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,94.65,6747.35,0.0,0,2391.84,9139.19,Permaneceu,,,0,50-100,20-35,>= 24 Meses
71687-KER,Masculino,69,Sim,Kerala,4,12,,Sim,Não,Não,,,,,,,,,,Um Ano,Sim,Débito em Conta,20.5,865.05,0.0,0,1205.6,2070.65,Permaneceu,,,0,20-50,> 50,12-18 Meses
34524-MAH,Feminino,57,Não,Maharashtra,13,23,Promoção 1,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Sim,Sim,Não,Mensal,Não,Cartão de Crédito,89.4,5976.9,36.02,40,3219.48,9200.36,Permaneceu,,,0,50-100,> 50,18-24 Meses
93739-UTT,Feminino,44,Não,Uttar Pradesh,14,6,,Sim,Não,Sim,Fibra Óptica,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,86.25,181.65,0.0,0,73.62,255.27,Churned,Concorrente,Concorrente ofereceu maior velocidade,1,50-100,36-50,6-12 Meses
21662-AND,Masculino,79,Sim,Andhra Pradesh,15,36,,Sim,Não,Sim,DSL,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Um Ano,Não,Débito em Conta,74.85,3268.05,17.91,0,339.68,3589.82,Permaneceu,,,0,50-100,> 50,>= 24 Meses
19096-WES,Feminino,58,Sim,West Bengal,14,28,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,89.75,1052.4,0.0,0,172.56,1224.96,Churned,Atitude,Attitude of support person,1,50-100,> 50,>= 24 Meses
72489-HAR,Feminino,73,Não,Haryana,11,20,,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Dois Anos,Sim,Débito em Conta,109.95,7634.25,0.0,0,1270.29,8904.54,Permaneceu,,,0,> 100,> 50,18-24 Meses
46624-WES,Feminino,26,Sim,West Bengal,13,27,Promoção 5,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque por Correio,80.2,80.2,0.0,0,1.23,81.43,Churned,Preço,Velocidade insuficiente,1,50-100,20-35,>= 24 Meses
14078-MAH,Feminino,28,Sim,Maharashtra,6,18,Promoção 5,Sim,Não,Não,,,,,,,,,,Mensal,Não,Cartão de Crédito,19.85,63.75,0.0,0,77.25,141.0,Churned,Preço,Taxas de longa distância,1,< 20,20-35,18-24 Meses
34425-ASS,Masculino,81,Não,Assam,0,21,,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Não,Sim,Dois Anos,Sim,Débito em Conta,86.45,2401.05,0.0,0,80.19,2481.24,Permaneceu,,,0,50-100,> 50,18-24 Meses
41236-GUJ,Feminino,54,Não,Gujarat,10,12,Promoção 3,Sim,Não,Não,,,,,,,,,,Mensal,Sim,Débito em Conta,20.3,511.25,0.0,0,346.84,858.09,Permaneceu,,,0,20-50,> 50,12-18 Meses
68369-UTT,Feminino,76,Não,Uttar Pradesh,6,12,,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,101.25,3949.15,0.0,0,785.85,4735.0,Permaneceu,,,0,> 100,> 50,12-18 Meses
